Model Code,Model,Make Code,Make
441,Oasis,38,Isuzu
471,P'up (pickup),38,Isuzu
498,Other light truck,38,Isuzu
499,Unknown light truck,38,Isuzu
881,Medium/Heavy CBE,38,Isuzu
882,Medium/Heavy COE,38,Isuzu
883,Medium/Heavy COE,38,Isuzu
884,Medium/Heavy,38,Isuzu
890,Medium/Heavy COE,38,Isuzu
898,Other medium/heavy truck,38,Isuzu
899,Unknown medium/heavy truck,38,Isuzu
950,Bus based motorhome,38,Isuzu
981,Bus Conventional front engine,38,Isuzu
982,Bus Front engine/flat front,38,Isuzu
983,Bus Rear engine/flat front,38,Isuzu
988,Other bus,38,Isuzu
989,Unknown bus,38,Isuzu
998,Other vehicle,38,Isuzu
999,Unknown vehicle,38,Isuzu
31,XJ-S Coupe,39,Jaguar
32,XJ6/12 Sedan/Coupe,39,Jaguar
33,XKE,39,Jaguar
34,X100,39,Jaguar
35,X-Type,39,Jaguar
398,Other automobile,39,Jaguar
399,Unknown automobile,39,Jaguar
998,Other vehicle,39,Jaguar
999,Unknown vehicle,39,Jaguar
31,Beta Sedan - HPG,40,Lancia
32,Beta Coupe - Zagato,40,Lancia
33,Scorpion,40,Lancia
398,Other automobile,40,Lancia
399,Unknown automobile,40,Lancia
998,Other vehicle,40,Lancia
999,Unknown vehicle,40,Lancia
31,RX2,41,Mazda
32,RX3,41,Mazda
33,RX4,41,Mazda
34,RX7,41,Mazda
35,323/GLC/Protege,41,Mazda
36,Cosmo,41,Mazda
37,626,41,Mazda
38,808,41,Mazda
39,Mizer,41,Mazda
40,R-100,41,Mazda
41,616/618,41,Mazda
42,1800,41,Mazda
43,929,41,Mazda
44,MX-6,41,Mazda
45,Miata,41,Mazda
46,MX-3,41,Mazda
47,Millenia,41,Mazda
48,MP3,41,Mazda
49,RX-8,41,Mazda
50,Mazda 6,41,Mazda
51,Mazda 3,41,Mazda
52,Mazda 5,41,Mazda
53,CX-7,41,Mazda
54,CX-9,41,Mazda
398,Other automobile,41,Mazda
399,Unknown automobile,41,Mazda
401,Navajo,41,Mazda
402,Tribute,41,Mazda
441,MPV,41,Mazda
471,Mazda pickup,41,Mazda
498,Other light truck,41,Mazda
499,Unknownlighttruck,41,Mazda
998,Other vehicle,41,Mazda
999,Unknown vehicle,41,Mazda
31,200/220/230/240/250/260/280/300/320/340,42,Mercedes Benz
32,230/280 SL,42,Mercedes Benz
33,"300/350/380/450/500 SL, 560 SL",42,Mercedes Benz
34,350/380/420/450/560,42,Mercedes Benz
35,280/300 SEL,42,Mercedes Benz
36,380/420/450/500/560 SEL and 500/560 SEC/ 350SDL/300 SDL,42,Mercedes Benz
